Name, Country1,Country2, Age, Position,PreviousClub,NextClub,Season,Year,TransferFee
Elliot Omozusi,England,Nigeria,22,RB,Fulham FC,Leyton Orient,Summer,2010,0
Wayne Brown,England,None,21,AM,Fulham FC,Bristol Rovers,Summer,2010,0
Michael Uwezu,England,Nigeria,19,CF,Fulham FC,Dulwich Hamlet FC,Summer,2010,0
Toni Kallio,Finland,None,31,CB,Fulham FC,Viking,Summer,2010,0
Erik Nevland,Norway,None,32,CF,Fulham FC,Viking,Summer,2010,0
Bruno Luz,Portugal,None,21,LW,Fulham FC,Apol. Limassol,Summer,2010,0
Stefan Payne,England,None,18,CF,Fulham FC,Gillingham FC,Summer,2010,0
Andranik Teymourian,Iran,None,27,DM,Fulham FC,None,Summer,2010,-1
King Gyan,Ghana,None,21,DM,Fulham FC,None,Summer,2010,-1
Somen Tchoyi,Cameroon,None,27,AM,RB Salzburg,West Bromwich Albion,Summer,2010,3000000.0
Peter Odemwingie,Nigeria,Russia,29,RW,Loko Moscow,West Bromwich Albion,Summer,2010,3000000.0
Marc-Antoine Fortun�,French Guiana,France,29,CF,Celtic,West Bromwich Albion,Summer,2010,3000000.0
Boaz Myhill,Wales,United States,27,GK,Hull City,West Bromwich Albion,Summer,2010,1800000.0
Nicky Shorey,England,None,29,LB,Aston Villa,West Bromwich Albion,Summer,2010,1800000.0
Gabriel Tamas,Romania,None,26,CB,AJ Auxerre,West Bromwich Albion,Summer,2010,930000.0
Craig Dawson,England,None,20,RB,Rochdale AFC,West Bromwich Albion,Summer,2010,300000.0
Paul Scharner,Austria,None,30,CB,Wigan,West Bromwich Albion,Summer,2010,0
Pablo Ib��ez,Spain,None,28,CB,Atl�tico Madrid,West Bromwich Albion,Summer,2010,0
James Hurst,England,None,18,RB,Portsmouth U18,West Bromwich Albion,Summer,2010,0
Steven Reid,Ireland,England,29,RB,Blackburn,West Bromwich Albion,Summer,2010,0
Filipe Teixeira,Portugal,France,29,RW,West Bromwich Albion,Metalurh D.,Summer,2010,0
Andwel� Slory,Netherlands,Suriname,27,RW,West Bromwich Albion,Levski Sofia,Summer,2010,0
Jonathan Greening,England,None,31,CM,West Bromwich Albion,Fulham,Summer,2010,0
Robert Koren,Slovenia,None,29,AM,West Bromwich Albion,Hull City,Summer,2010,0
Beb�,Portugal,Cape Verde,20,LW,Vit. Guimar�es,Manchester United,Summer,2010,8800000.0
Chris Smalling,England,None,20,CB,Fulham,Manchester United,Summer,2010,8000000.0
Chicharito,Mexico,None,22,CF,Guadalajara,Manchester United,Summer,2010,7500000.0
Zoran Tosic,Serbia,None,23,RW,Manchester United,CSKA Moscow,Summer,2010,9500000.0
Ben Foster,England,None,27,GK,Manchester United,Birmingham,Summer,2010,7000000.0
David Gray,Scotland,None,22,RB,Manchester United,Preston NE,Summer,2010,0
Rodrigo Possebon,Italy,Brazil,21,CM,Manchester United,Santos FC,Summer,2010,0
Tom Heaton,England,None,24,GK,Manchester United,Cardiff,Summer,2010,0
Sam Hewson,England,None,21,CM,Manchester United,Altrincham,Summer,2010,0
Scott Moffatt,England,None,19,CB,Manchester United,None,Summer,2010,-1
Ronnie Stam,Netherlands,None,26,RB,FC Twente,Wigan Athletic,Summer,2010,4000000.0
Mauro Boselli,Argentina,Mexico,25,CF,Estudiantes,Wigan Athletic,Summer,2010,3700000.0
Franco Di Santo,Argentina,Italy,21,CF,Chelsea,Wigan Athletic,Summer,2010,2400000.0
James McArthur,Scotland,None,22,CM,Hamilton Acad.,Wigan Athletic,Summer,2010,600000.0
Antol�n Alcaraz,Paraguay,Italy,27,CB,Club Brugge,Wigan Athletic,Summer,2010,0
Steven Caldwell,Scotland,None,29,CB,Burnley,Wigan Athletic,Summer,2010,0
Titus Bramble,England,Montserrat,28,CB,Wigan Athletic,Sunderland,Summer,2010,1200000.0
Jason Scotland,Trinidad and Tobago,None,31,CF,Wigan Athletic,Ipswich,Summer,2010,1200000.0
Mario Melchiot,Netherlands,Suriname,33,RB,Wigan Athletic,Umm-Salal,Summer,2010,0
Tomasz Kupisz,Poland,None,20,RW,Wigan Athletic,J. Bialystok,Summer,2010,0
Paul Scharner,Austria,None,30,CB,Wigan Athletic,West Brom,Summer,2010,0
Tomasz Cywka,Poland,None,22,RB,Wigan Athletic,Derby,Summer,2010,0
Olivier Kapo,France,Cote d'Ivoire,29,AM,Wigan Athletic,None,Summer,2010,-1
Richard Kingson,Ghana,Turkey,32,GK,Wigan Athletic,Blackpool,Summer,2010,-1
Stephen Ireland,Ireland,None,23,AM,Man City,Aston Villa,Summer,2010,9700000.0
James Milner,England,None,24,CM,Aston Villa,Man City,Summer,2010,22000000.0
Nicky Shorey,England,None,29,LB,Aston Villa,West Brom,Summer,2010,1800000.0
David Bevan,Ireland,None,21,GK,Aston Villa,Walsall FC,Summer,2010,0
Stephen O'Halloran,Ireland,None,22,LB,Aston Villa,Coventry City,Summer,2010,0
Marlon Harewood,England,Barbados,30,CF,Aston Villa,Blackpool,Summer,2010,0
Wilfred Bouma,Netherlands,None,32,LB,Aston Villa,PSV Eindhoven,Summer,2010,0
Pablo Barrera,Mexico,None,23,RW,Pumas,West Ham United,Summer,2010,4800000.0
Winston Reid,New Zealand,Denmark,22,CB,FC Midtjylland,West Ham United,Summer,2010,4200000.0
Fr�d�ric Piquionne,Martinique,France,31,CF,Olympique Lyon,West Ham United,Summer,2010,1200000.0
Ruud Boffin,Belgium,None,22,GK,MVV Maastricht,West Ham United,Summer,2010,300000.0
Thomas Hitzlsperger,Germany,None,28,CM,Lazio,West Ham United,Summer,2010,0
Lars Jacobsen,Denmark,None,30,RB,Blackburn,West Ham United,Summer,2010,0
Alessandro Diamanti,Italy,None,27,SS,West Ham United,Brescia,Summer,2010,2200000.0
Fabio Daprel�,Switzerland,Italy,19,LB,West Ham United,Brescia,Summer,2010,750000.0
Danny Kearns,Ireland,Northern Ireland,18,RM,West Ham United,Dundalk FC,Summer,2010,0
Terry Dixon,Ireland,England,20,CF,West Ham United,Stevenage FC,Summer,2010,0
Josh Payne,England,None,19,DM,West Ham United,Doncaster Rov.,Summer,2010,0
Danny Uchechi,Nigeria,None,20,AM,West Ham United,FC Dender,Summer,2010,0
Guillermo Franco,Mexico,Argentina,33,CF,West Ham United,None,Summer,2010,-1
Benni McCarthy,South Africa,None,33,CF,West Ham United,None,Summer,2010,-1
Ilan,Brazil,Italy,29,CF,West Ham United,None,Summer,2010,-1
Tony Brookes,England,None,19,CB,West Ham United,None,Summer,2010,-1
Magaye Gueye,Senegal,France,19,CF,R. Strasbourg,Everton FC,Summer,2010,1400000.0
Jermaine Beckford,Jamaica,England,26,CF,Leeds,Everton FC,Summer,2010,0
J�n Mucha,Slovakia,None,27,GK,Legia Warszawa,Everton FC,Summer,2010,0
Lukas Jutkiewicz,England,None,21,CF,Everton FC,Coventry City,Summer,2010,600000.0
John Ruddy,England,None,23,GK,Everton FC,Norwich,Summer,2010,600000.0
Carlo Nash,England,None,36,GK,Everton FC,Stoke City,Summer,2010,0
Dan Gosling,England,None,20,CM,Everton FC,Newcastle,Summer,2010,0
Anton Peterlin,United States,Denmark,23,RM,Everton FC,Plymouth,Summer,2010,0
Ra�l Meireles,Portugal,None,27,CM,FC Porto,Liverpool FC,Summer,2010,13000000.0
Christian Poulsen,Denmark,None,30,DM,Juventus,Liverpool FC,Summer,2010,5480000.0
Paul Konchesky,England,None,29,LB,Fulham,Liverpool FC,Summer,2010,4000000.0
Brad Jones,Australia,England,28,GK,Middlesbrough,Liverpool FC,Summer,2010,2800000.0
Danny Wilson,Scotland,None,18,CB,Rangers,Liverpool FC,Summer,2010,2750000.0
Jonjo Shelvey,England,None,18,CM,Charlton,Liverpool FC,Summer,2010,2000000.0
Milan Jovanovic,Serbia,None,29,LW,Standard Li�ge,Liverpool FC,Summer,2010,0
Joe Cole,England,None,28,AM,Chelsea,Liverpool FC,Summer,2010,0
Javier Mascherano,Argentina,Italy,26,CB,Liverpool FC,FC Barcelona,Summer,2010,20000000.0
Yossi Benayoun,Israel,None,30,RW,Liverpool FC,Chelsea,Summer,2010,7000000.0
Albert Riera,Spain,None,28,LW,Liverpool FC,Olympiacos,Summer,2010,6000000.0
Kriszti�n N�meth,Hungary,None,21,CF,Liverpool FC,Olympiacos,Summer,2010,1200000.0
Damien Plessis,France,R�union,22,DM,Liverpool FC,Panathinaikos,Summer,2010,800000.0
Lauri Dalla Valle,Finland,Italy,18,CF,Liverpool FC,Fulham U23,Summer,2010,0
Robbie Threlfall,England,None,21,LB,Liverpool FC,Bradford City,Summer,2010,0
David Martin,England,None,24,GK,Liverpool FC,MK Dons,Summer,2010,0
Nikolay Mihaylov,Bulgaria,None,22,GK,Liverpool FC,FC Twente,Summer,2010,0
Diego Cavalieri,Brazil,Italy,27,GK,Liverpool FC,AC Cesena,Summer,2010,0
Rafael van der Vaart,Netherlands,None,27,AM,Real Madrid,Tottenham Hotspur,Summer,2010,10500000.0
Sandro,Brazil,Portugal,21,DM,Internacional,Tottenham Hotspur,Summer,2010,10000000.0
William Gallas,France,Guadeloupe,33,CB,Arsenal,Tottenham Hotspur,Summer,2010,0
Adel Taarabt,Morocco,France,21,AM,Tottenham Hotspur,QPR,Summer,2010,1200000.0
Dorian Dervite,France,None,22,CB,Tottenham Hotspur,Villarreal CF B,Summer,2010,0
Jimmy Walker,England,None,36,GK,Tottenham Hotspur,None,Summer,2010,-1
Benjani,Zimbabwe,South Africa,31,CF,Man City,Blackburn Rovers,Summer,2010,0
H�rold Goulon,France,None,22,DM,None,Blackburn Rovers,Summer,2010,-1
Andy Haworth,England,None,21,RM,Blackburn Rovers,Bury,Summer,2010,0
Zak Jones,England,None,21,GK,Blackburn Rovers,Forest Green,Summer,2010,0
Steven Reid,Ireland,England,29,RB,Blackburn Rovers,West Brom,Summer,2010,0
Michael Hall,England,None,19,LB,Blackburn Rovers,Accrington St.,Summer,2010,0
Lars Jacobsen,Denmark,None,30,RB,Blackburn Rovers,West Ham,Summer,2010,0
Alan Judge,Ireland,None,21,CM,Blackburn Rovers,Notts County,Summer,2010,-1
Yildiray Bast�rk,Turkey,Germany,31,AM,Blackburn Rovers,None,Summer,2010,-1
Yaya Tour�,Cote d'Ivoire,None,27,CM,FC Barcelona,Manchester City,Summer,2010,30000000.0
Mario Balotelli,Italy,Ghana,20,CF,Inter,Manchester City,Summer,2010,29500000.0
David Silva,Spain,None,24,AM,Valencia CF,Manchester City,Summer,2010,28750000.0
Aleksandar Kolarov,Serbia,None,24,LB,Lazio,Manchester City,Summer,2010,22700000.0
James Milner,England,None,24,CM,Aston Villa,Manchester City,Summer,2010,22000000.0
J�r�me Boateng,Germany,None,21,CB,Hamburger SV,Manchester City,Summer,2010,12500000.0
Mohammed Abu,Ghana,None,18,DM,None,Manchester City,Summer,2010,-1
Robinho,Brazil,Spain,26,LW,Manchester City,AC Milan,Summer,2010,18000000.0
Stephen Ireland,Ireland,None,23,AM,Manchester City,Aston Villa,Summer,2010,9700000.0
Javier Garrido,Spain,None,25,LB,Manchester City,Lazio,Summer,2010,2500000.0
Valeri Bojinov,Bulgaria,Italy,24,CF,Manchester City,Parma,Summer,2010,2000000.0
Benjani,Zimbabwe,South Africa,31,CF,Manchester City,Blackburn,Summer,2010,0
Karl Moore,Ireland,None,21,AM,Manchester City,UCD,Summer,2010,0
Martin Petrov,Bulgaria,None,31,LW,Manchester City,Bolton,Summer,2010,0
Kelvin Etuhu,Nigeria,England,22,DM,Manchester City,None,Summer,2010,-1
Sylvinho,Brazil,Spain,36,LB,Manchester City,None,Summer,2010,-1
Asamoah Gyan,Ghana,None,24,CF,Stade Rennais,Sunderland AFC,Summer,2010,16000000.0
Simon Mignolet,Belgium,None,22,GK,Sint-Truiden,Sunderland AFC,Summer,2010,2500000.0
Marcos Angeleri,Argentina,Italy,27,CB,Estudiantes,Sunderland AFC,Summer,2010,1800000.0
Titus Bramble,England,Montserrat,28,CB,Wigan,Sunderland AFC,Summer,2010,1200000.0
Billy Knott,England,None,17,CM,Chelsea U18,Sunderland AFC,Summer,2010,0
Cristian Riveros,Paraguay,None,27,DM,CD Cruz Azul,Sunderland AFC,Summer,2010,0
Kenwyne Jones,Trinidad and Tobago,None,25,CF,Sunderland AFC,Stoke City,Summer,2010,9700000.0
Lorik Cana,Albania,France,26,CB,Sunderland AFC,Galatasaray,Summer,2010,4500000.0
Martyn Waghorn,England,None,20,CF,Sunderland AFC,Leicester,Summer,2010,3600000.0
Daryl Murphy,Ireland,None,27,CF,Sunderland AFC,Celtic,Summer,2010,1700000.0
M�rton F�l�p �,Hungary,None,27,GK,Sunderland AFC,Ipswich,Summer,2010,425000.0
Roy O'Donovan,Ireland,None,24,CF,Sunderland AFC,Coventry City,Summer,2010,0
Teemu Tainio,Finland,None,30,CM,Sunderland AFC,AFC Ajax,Summer,2010,0
Nikola Zigic,Serbia,None,29,CF,Valencia CF,Birmingham City,Summer,2010,7000000.0
Ben Foster,England,None,27,GK,Man Utd,Birmingham City,Summer,2010,7000000.0
Jean Beausejour,Chile,Haiti,26,LB,Am�rica,Birmingham City,Summer,2010,4800000.0
Martin Jiranek,Czech Republic,None,31,CB,Spartak Moscow,Birmingham City,Summer,2010,600000.0
Enric Vall�s,Spain,None,20,DM,NAC Breda,Birmingham City,Summer,2010,0
Gr�gory Vignal,France,None,29,LB,Birmingham City,Atromitos Athen,Summer,2010,0
Gary McSheffrey,England,None,27,LW,Birmingham City,Coventry City,Summer,2010,0
Lee Carsley,Ireland,None,36,DM,Birmingham City,Coventry City,Summer,2010,0
Artur Krysiak,Poland,None,20,GK,Birmingham City,Exeter City,Summer,2010,0
Franck Queudrue,France,None,31,LB,Birmingham City,None,Summer,2010,-1
Marcos Alonso,Spain,None,19,LB,RM Castilla,Bolton Wanderers,Summer,2010,2400000.0
Tom Eaves,England,None,18,CF,Oldham Athletic,Bolton Wanderers,Summer,2010,245000.0
Ivan Klasnic,Croatia,None,30,CF,FC Nantes,Bolton Wanderers,Summer,2010,0
Robbie Blake,England,None,34,SS,Burnley,Bolton Wanderers,Summer,2010,0
Martin Petrov,Bulgaria,None,31,LW,Man City,Bolton Wanderers,Summer,2010,0
