Name, Country1,Country2, Age, Position,PreviousClub,NextClub,Season,Year,TransferFee
Fran�ois Clerc,France,None,27,RB,Olympique Lyon,None,Summer,2010,-1
Moussa Sow,Senegal,France,24,CF,Stade Rennais,LOSC Lille,Summer,2010,0
R�bert Vittek,Slovakia,None,28,CF,LOSC Lille,Ankarag�c�,Summer,2010,2100000.0
Larsen Tour�,Guinea,France,26,RW,LOSC Lille,Stade Brest 29,Summer,2010,200000.0
Ricardo Costa,Portugal,None,29,CB,LOSC Lille,Valencia CF,Summer,2010,0
Nicolas Plestan,France,None,29,CB,LOSC Lille,FC Schalke 04,Summer,2010,0
Bruno Ecuele Manga,Gabon,France,21,CB,SCO Angers,FC Lorient,Summer,2010,2500000.0
Lynel Kitambala,France,Congo DR,21,CF,AJ Auxerre,FC Lorient,Summer,2010,1500000.0
Alaixys Romao,Togo,France,26,DM,Grenoble,FC Lorient,Summer,2010,1000000.0
Lamine Kon�,Cote d'Ivoire,France,21,CB,LB Ch�teauroux,FC Lorient,Summer,2010,1000000.0
Mathias Autret,France,None,19,LW,Brest,FC Lorient,Summer,2010,0
R�mi Mulumba,Congo DR,France,17,DM,SC Amiens B,FC Lorient,Summer,2010,0
Laurent Koscielny,France,Poland,24,CB,FC Lorient,Arsenal,Summer,2010,12500000.0
Benjamin Genton,France,None,30,CB,FC Lorient,AC Le Havre,Summer,2010,300000.0
Yazid Mansouri,Algeria,France,32,CM,FC Lorient,Al-Sailiya,Summer,2010,0
Sylvain Marchal,France,None,30,CB,FC Lorient,Saint-�tienne,Summer,2010,0
Marama Vahirua,Tahiti,France,30,SS,FC Lorient,AS Nancy,Summer,2010,0
Yaya Dian�,Guinea,France,21,CF,FC Lorient,None,Summer,2010,-1
Namaie Mendy,France,Senegal,21,CB,FC Lorient,None,Summer,2010,-1
Marama Vahirua,Tahiti,France,30,SS,FC Lorient,AS Nancy-Lorraine,Summer,2010,0
Issiar Dia,Senegal,France,23,RW,AS Nancy-Lorraine,Fenerbahce,Summer,2010,6500000.0
Chris Malonga,Congo,France,23,LW,AS Nancy-Lorraine,Monaco,Summer,2010,1300000.0
Dami�n Macaluso,Uruguay,Italy,30,CB,AS Nancy-Lorraine,Veracruz,Summer,2010,0
Abdeslam Ouaddou,Morocco,France,31,CB,AS Nancy-Lorraine,Al-Duhail,Summer,2010,0
Thomas Gaudu,France,None,23,GK,AS Nancy-Lorraine,None,Summer,2010,-1
Gast�n Curbelo,France,Uruguay,34,Striker,AS Nancy-Lorraine,None,Summer,2010,-1
Basile Camerling,France,None,23,CF,AS Nancy-Lorraine,None,Summer,2010,-1
Momar Faye,Senegal,None,22,DM,AS Nancy-Lorraine,None,Summer,2010,-1
Johan Lapeyre,France,None,24,GK,AS Nancy-Lorraine,None,Summer,2010,-1
Damien Marcq,France,None,21,DM,US Boulogne,SM Caen,Summer,2010,3000000.0
Romain Hamouma,France,None,23,RW,Stade Laval,SM Caen,Summer,2010,1200000.0
Branko Lazarevic,Serbia,None,26,CB,OFK Beograd,SM Caen,Summer,2010,0
Kandia Traor�,Cote d'Ivoire,France,29,CF,FC Sochaux,SM Caen,Summer,2010,-1
Juan Eluchans,Argentina,None,30,LB,SM Caen,CDUC,Summer,2010,0
Nicolas Florentin,France,None,32,LW,SM Caen,SCO Angers,Summer,2010,0
Gr�gory Proment,France,None,31,DM,SM Caen,Antalyaspor,Summer,2010,0
Mustapha Traor�,France,Mali,27,CB,SM Caen,Mondeville,Summer,2010,0
Guillaume Quellier,France,None,24,LM,SM Caen,None,Summer,2010,-1
Mathieu Dossevi,Togo,France,22,RW,Le Mans,Valenciennes FC,Summer,2010,1000000.0
Mamadou Samassa,Mali,France,24,CF,Marseille,Valenciennes FC,Summer,2010,800000.0
Nicolas Pallois,France,None,22,CB,US Quevilly,Valenciennes FC,Summer,2010,0
Guillaume Loriot,France,None,24,CM,Le Mans,Valenciennes FC,Summer,2010,0
Vincent Aboubakar,Cameroon,None,18,CF,Cotonsport,Valenciennes FC,Summer,2010,-1
Christopher Mfuyi,Congo DR,Switzerland,21,CB,Servette FC,Valenciennes FC,Summer,2010,-1
Fahid Ben Khalfallah,Tunisia,France,27,RW,Valenciennes FC,G. Bordeaux,Summer,2010,4500000.0
Johan Audel,Martinique,France,26,LW,Valenciennes FC,VfB Stuttgart,Summer,2010,2500000.0
Siaka Ti�n�,Cote d'Ivoire,None,28,LB,Valenciennes FC,Paris SG,Summer,2010,1500000.0
Se�d Khiter,France,Algeria,25,RW,Valenciennes FC,Stade Laval,Summer,2010,0
Jacques Abardonado,France,None,32,CB,Valenciennes FC,Grenoble,Summer,2010,0
Filip Sebo,Slovakia,None,26,CF,Valenciennes FC,None,Summer,2010,-1
Paul Baysse,France,None,22,CB,CS Sedan,Stade Brest 29,Summer,2010,1000000.0
Wellington Silva,Brazil,Spain,18,RW,Fluminense,Arsenal FC,Winter,2010,4000000.0
Ryo Miyaichi,Japan,None,18,LW,Chukyo HS,Arsenal FC,Winter,2010,-1
Jens Lehmann,Germany,None,41,GK,None,Arsenal FC,Winter,2010,-1
Nacer Barazite,Netherlands,Morocco,20,AM,Arsenal FC,Austria Vienna,Winter,2010,400000.0
Jermaine Pennant,England,Jamaica,27,RW,Real Zaragoza,Stoke City,Winter,2010,2000000.0
Tuncay Sanli,Turkey,None,29,LW,Stoke City,VfL Wolfsburg,Winter,2010,4500000.0
Liam Lawrence,Ireland,England,29,AM,Stoke City,Portsmouth FC,Winter,2010,0
Adam Hammill,England,Ireland,22,RW,Barnsley FC,Wolverhampton Wanderers,Winter,2010,600000.0
Leigh Griffiths,Scotland,None,20,CF,Dundee FC,Wolverhampton Wanderers,Winter,2010,175000.0
Adriano Basso,Brazil,Italy,35,GK,None,Wolverhampton Wanderers,Winter,2010,-1
Jelle Van Damme,Belgium,None,27,CB,Wolverhampton Wanderers,Standard Li�ge,Winter,2010,3500000.0
Matt Hill,England,None,29,LB,Wolverhampton Wanderers,Barnsley FC,Winter,2010,0
Fernando Torres,Spain,None,26,CF,Liverpool,Chelsea FC,Winter,2010,58500000.0
David Luiz,Brazil,Portugal,23,CB,Benfica,Chelsea FC,Winter,2010,25000000.0
Hatem Ben Arfa,France,Tunisia,23,AM,Marseille,Newcastle United,Winter,2010,6000000.0
Shefki Kuqi,Finland,Kosovo,34,CF,Swansea,Newcastle United,Winter,2010,0
Andy Carroll,England,None,22,CF,Newcastle United,Liverpool,Winter,2010,41000000.0
Steve Sidwell,England,None,28,CM,Aston Villa,Fulham FC,Winter,2010,600000.0
David Elm,Sweden,None,27,CF,Fulham FC,Elfsborg,Winter,2010,360000.0
Rob Milsom,England,None,24,CM,Fulham FC,Aberdeen FC,Winter,2010,0
Fredrik Stoor,Sweden,None,26,RB,Fulham FC,Valerenga,Winter,2010,-1
Luke Moore,England,Jamaica,24,CF,West Bromwich Albion,Swansea,Winter,2010,1000000.0
Leon Barnett,England,Jamaica,25,CB,West Bromwich Albion,Norwich,Winter,2010,850000.0
Reuben Reid,England,Jamaica,22,CF,West Bromwich Albion,Oldham Athletic,Winter,2010,0
Anders Lindegaard,Denmark,None,26,GK,Aalesunds FK,Manchester United,Winter,2010,5000000.0
James Chester,Wales,England,21,CB,Manchester United,Hull City,Winter,2010,350000.0
Gary Neville,England,None,35,RB,Manchester United,None,Winter,2010,-1
Conor Sammon,Ireland,None,24,CF,Kilmarnock FC,Wigan Athletic,Winter,2010,700000.0
Adri�n L�pez,Spain,None,23,CB,Dep. La Coru�a,Wigan Athletic,Winter,2010,0
Rachid Bouaouzan,Netherlands,Morocco,26,LM,Wigan Athletic,Helsingborg,Winter,2010,0
Won-Hee Cho,Korea  South,None,27,DM,Wigan Athletic,GZ Evergrande,Winter,2010,0
Darren Bent,England,Jamaica,26,CF,Sunderland,Aston Villa,Winter,2010,21500000.0
Jean II Makoun,Cameroon,France,27,DM,Olympique Lyon,Aston Villa,Winter,2010,6200000.0
Robert Pir�s,France,Portugal,37,LM,None,Aston Villa,Winter,2010,-1
Curtis Davies,England,Sierra Leone,25,CB,Aston Villa,Birmingham,Winter,2010,4000000.0
Steve Sidwell,England,None,28,CM,Aston Villa,Fulham,Winter,2010,600000.0
Gary O'Neil,England,None,27,CM,Middlesbrough,West Ham United,Winter,2010,2900000.0
Demba Ba,Senegal,France,25,CF,TSG Hoffenheim,West Ham United,Winter,2010,800000.0
Paul McCallum,England,None,17,CF,Dulwich Hamlet FC,West Ham United,Winter,2010,75000.0
Valon Behrami,Switzerland,Kosovo,25,DM,West Ham United,Fiorentina,Winter,2010,2000000.0
Apostolos Vellios,Greece,None,19,CF,Iraklis,Everton FC,Winter,2010,300000.0
Steven Pienaar,South Africa,None,28,LW,Everton FC,Spurs,Winter,2010,3600000.0
Andy Carroll,England,None,22,CF,Newcastle,Liverpool FC,Winter,2010,41000000.0
Luis Su�rez,Uruguay,None,24,CF,AFC Ajax,Liverpool FC,Winter,2010,26500000.0
Fernando Torres,Spain,None,26,CF,Liverpool FC,Chelsea,Winter,2010,58500000.0
Ryan Babel,Netherlands,Suriname,24,LW,Liverpool FC,TSG Hoffenheim,Winter,2010,7000000.0
Charles Itandje,Cameroon,France,28,GK,Liverpool FC,Atromitos Athen,Winter,2010,0
Andr�s Simon,Hungary,None,20,CF,Liverpool FC,SBV Excelsior,Winter,2010,0
Steven Pienaar,South Africa,None,28,LW,Everton,Tottenham Hotspur,Winter,2010,3600000.0
Bongani Khumalo,South Africa,Swaziland,23,CB,SuperSport Utd.,Tottenham Hotspur,Winter,2010,1800000.0
Simon Dawkins,Jamaica,England,23,LW,None,Tottenham Hotspur,Winter,2010,-1
Mauro Formica,Argentina,Italy,22,AM,Newell's,Blackburn Rovers,Winter,2010,4000000.0
Rub�n Rochina,Spain,None,19,AM,FC Barcelona B,Blackburn Rovers,Winter,2010,450000.0
H�rold Goulon,France,None,22,DM,None,Blackburn Rovers,Winter,2010,-1
Alex Marrow,England,None,20,CM,Blackburn Rovers,Crystal Palace,Winter,2010,275000.0
Pascal Chimbonda,Guadeloupe,France,31,RB,Blackburn Rovers,QPR,Winter,2010,0
Edin Dzeko,Bosnia-Herzegovina,None,24,CF,VfL Wolfsburg,Manchester City,Winter,2010,37000000.0
St�phane Sess�gnon,Benin,None,26,AM,Paris SG,Sunderland AFC,Winter,2010,7000000.0
Darren Bent,England,Jamaica,26,CF,Sunderland AFC,Aston Villa,Winter,2010,21500000.0
Paulo da Silva,Paraguay,None,30,CB,Sunderland AFC,Real Zaragoza,Winter,2010,350000.0
Andy Reid,Ireland,None,28,LM,Sunderland AFC,Blackpool,Winter,2010,0
David Healy,Northern Ireland,None,31,CF,Sunderland AFC,Rangers,Winter,2010,0
Curtis Davies,England,Sierra Leone,25,CB,Aston Villa,Birmingham City,Winter,2010,4000000.0
Garry O'Connor,Scotland,None,27,CF,Birmingham City,Barnsley FC,Winter,2010,0
David Wheater,England,None,23,CB,Middlesbrough,Bolton Wanderers,Winter,2010,2750000.0
Danny Shittu,Nigeria,None,30,CB,Bolton Wanderers,Millwall,Winter,2010,0
Stuart McDonald,N/A,None,-,CM,Bolton Wanderers,Gretna,Winter,2010,0
Andrew O'Brien,Ireland,England,31,CB,Bolton Wanderers,Leeds,Winter,2010,-1
Riga Mustapha,Netherlands,Ghana,29,RW,Bolton Wanderers,None,Winter,2010,-1
Salaheddine Sba�,Morocco,Belgium,25,LB,N�mes Olympique,Blackpool FC,Winter,2010,0
Andy Reid,Ireland,None,28,LM,Sunderland,Blackpool FC,Winter,2010,0
Dekel Keinan,Israel,None,26,CB,Blackpool FC,Cardiff,Winter,2010,0
Elias,Brazil,None,25,CM,Corinthians,Atl�tico Madrid,Winter,2010,7000000.0
Juanfran,Spain,None,25,RB,CA Osasuna,Atl�tico Madrid,Winter,2010,4250000.0
Ignacio Camacho,Spain,None,20,DM,Atl�tico Madrid,M�laga CF,Winter,2010,1500000.0
Sim�o Sabrosa,Portugal,None,31,LW,Atl�tico Madrid,Besiktas,Winter,2010,900000.0
Juanito,Spain,None,34,CB,Atl�tico Madrid,Real Valladolid,Winter,2010,0
Ibrahim Afellay,Netherlands,Morocco,24,LM,PSV Eindhoven,FC Barcelona,Winter,2010,3000000.0
Paulo da Silva,Paraguay,None,30,CB,Sunderland,Real Zaragoza,Winter,2010,350000.0
Jermaine Pennant,England,Jamaica,27,RW,Real Zaragoza,Stoke City,Winter,2010,2000000.0
Akihiro Ienaga,Japan,None,24,AM,Gamba Osaka,RCD Mallorca,Winter,2010,-1
Alhassane Keita,Guinea,None,27,CF,RCD Mallorca,Shabab,Winter,2010,0
�lvaro Cejudo,Spain,None,26,RW,UD Las Palmas,CA Osasuna,Winter,2010,320000.0
Juanfran,Spain,None,25,RB,CA Osasuna,Atl�tico Madrid,Winter,2010,4250000.0
Nicol�s Medina,Chile,None,23,CF,CA Osasuna,Akademik Sofia,Winter,2010,0
Gary Medel,Chile,None,23,DM,CDUC,Sevilla FC,Winter,2010,3000000.0
Ivan Rakitic,Croatia,Switzerland,22,CM,FC Schalke 04,Sevilla FC,Winter,2010,2500000.0
Lu�s Fabiano,Brazil,Spain,30,CF,Sevilla FC,S�o Paulo,Winter,2010,7600000.0
Abdoulay Konko,France,Morocco,26,RB,Sevilla FC,Genoa,Winter,2010,6000000.0
Mahamadou Diarra,Mali,None,29,DM,Real Madrid,Monaco,Winter,2010,0
Vadim Demidov,Norway,Russia,24,CB,Rosenborg BK,Real Sociedad,Winter,2010,0
Jes�s D�tolo,Argentina,Italy,26,AM,SSC Napoli,RCD Espanyol Barcelona,Winter,2010,2500000.0
V�ctor Ruiz,Spain,None,21,CB,RCD Espanyol Barcelona,SSC Napoli,Winter,2010,8500000.0
D�dac Vil�,Spain,None,21,LB,RCD Espanyol Barcelona,AC Milan,Winter,2010,4000000.0
Wellington Baroni,Brazil,Italy,21,LB,RCD Espanyol Barcelona,Lajeadense,Winter,2010,0
Adri�n L�pez,Spain,None,23,CB,Deportivo de La Coru�a,Wigan,Winter,2010,0
Jonas,Brazil,Italy,26,SS,Gr�mio,Valencia CF,Winter,2010,1250000.0
Leandro Somoza,Argentina,Italy,29,CM,Villarreal CF,Boca Juniors,Winter,2010,-1
Mart�n Demichelis,Argentina,Italy,30,CB,Bayern Munich,M�laga CF,Winter,2010,3000000.0
J�lio Baptista,Brazil,Spain,29,AM,AS Roma,M�laga CF,Winter,2010,2500000.0
Ignacio Camacho,Spain,None,20,DM,Atl�tico Madrid,M�laga CF,Winter,2010,1500000.0
Willy Caballero,Argentina,Spain,29,GK,Elche CF,M�laga CF,Winter,2010,900000.0
Enzo Maresca,Italy,None,30,CM,None,M�laga CF,Winter,2010,-1
Nabil Baha,Morocco,France,29,CF,M�laga CF,AEK Athens,Winter,2010,0
Juanito,Spain,None,30,DM,M�laga CF,UD Almer�a,Winter,2010,0
Albert Luque,Spain,None,32,LW,M�laga CF,None,Winter,2010,-1
Sergio Matabuena,Spain,None,31,DM,Sporting Gij�n,Real Valladolid,Winter,2010,0
Cristian Portilla,Spain,None,22,CM,Sporting Gij�n,Aris Saloniki,Winter,2010,0
Juanito,Spain,None,30,DM,M�laga CF,UD Almer�a,Winter,2010,0
Baltasar Rigo,Spain,None,25,CB,UD Almer�a,SD Huesca,Winter,2010,0
Guilherme Santos,Brazil,None,23,LB,UD Almer�a,Atl�tico-MG,Winter,2010,-1
Eugen Polanski,Poland,Germany,24,DM,Getafe CF,1.FSV Mainz 05,Winter,2010,1100000.0
Rodri,Spain,None,26,CB,H�rcules CF,Spartak Moscow,Winter,2010,400000.0
Urko Vera,Spain,None,23,CF,Lemona,Athletic Bilbao,Winter,2010,20000.0
Robinho,Brazil,Spain,26,LW,Man City,AC Milan,Summer,2010,18000000.0
Sokratis,Greece,None,22,CB,Genoa,AC Milan,Summer,2010,4500000.0
Alberto Paloschi,Italy,None,21,CF,Genoa,AC Milan,Summer,2010,4350000.0
Cristian Daminuta,Romania,None,20,DM,Inter,AC Milan,Summer,2010,1000000.0
Attila Filkor,Hungary,None,22,CM,Inter,AC Milan,Summer,2010,1000000.0
Mario Yepes,Colombia,France,34,CB,Chievo Verona,AC Milan,Summer,2010,0
Wilfred Osuji,Nigeria,None,20,DM,Varese,AC Milan,Summer,2010,-1
Bruno Montelongo,Uruguay,Italy,22,RM,River Plate,AC Milan,Summer,2010,-1
Ferdinando Coppola,Italy,None,32,GK,Atalanta,AC Milan,Summer,2010,-1
Klaas-Jan Huntelaar,Netherlands,None,27,CF,AC Milan,FC Schalke 04,Summer,2010,14000000.0
Marco Storari,Italy,None,33,GK,AC Milan,Juventus,Summer,2010,4500000.0
Matteo Darmian,Italy,None,20,RB,AC Milan,US Palermo,Summer,2010,800000.0
Elia Legati,Italy,None,24,CB,AC Milan,Padova,Summer,2010,660000.0
Math�as Cardacio,Uruguay,Italy,22,CM,AC Milan,Atlante,Summer,2010,0
Marco Bergamini,Italy,None,22,CB,AC Milan,Renate,Summer,2010,0
Kakhaber Kaladze,Georgia,None,32,CB,AC Milan,Genoa,Summer,2010,0
Federico Furlan,Italy,None,19,RM,AC Milan,Varese,Summer,2010,10000.0
Matteo Bruscagin,Italy,None,20,CB,AC Milan,Grosseto,Summer,2010,1000.0
Emanuele Orlandi,Italy,None,22,RM,AC Milan,Carrarese,Summer,2010,-1
Patrick Kalambay,Italy,Congo DR,26,RM,AC Milan,Ancona,Summer,2010,-1
Dida,Brazil,None,36,GK,AC Milan,None,Summer,2010,-1
Giuseppe Favalli,Italy,None,38,LB,AC Milan,None,Summer,2010,-1
Nicol�s Burdisso,Argentina,Italy,29,CB,Inter,AS Roma,Summer,2010,8000000.0
Aleandro Rosi,Italy,None,23,RB,AC Siena,AS Roma,Summer,2010,1900000.0
Bogdan Lobont,Romania,None,32,GK,Dinamo Bukarest,AS Roma,Summer,2010,800000.0
F�bio Simpl�cio,Brazil,None,30,CM,US Palermo,AS Roma,Summer,2010,0
Adriano,Brazil,None,28,CF,Flamengo,AS Roma,Summer,2010,0
Stefano Guberti,Italy,None,26,RW,Sampdoria,AS Roma,Summer,2010,500.0
Federico Maria Erba,Italy,None,21,CB,AC Cesena,AS Roma,Summer,2010,-1
Alessio Cerci,Italy,None,23,RW,AS Roma,Fiorentina,Summer,2010,4000000.0
Stefano Guberti,Italy,None,25,RW,AS Roma,Sampdoria,Summer,2010,1500000.0
Marco Motta,Italy,None,24,RB,AS Roma,Udinese Calcio,Summer,2010,1450000.0
Marco Andreolli,Italy,None,24,CB,AS Roma,Chievo Verona,Summer,2010,800000.0
Adrian Pit,Romania,None,27,LM,AS Roma,U Cluj,Summer,2010,0
Ricardo Faty,Senegal,France,24,DM,AS Roma,Aris Saloniki,Summer,2010,0
Mauro Esposito,Italy,None,31,RW,AS Roma,Atletico Roma,Summer,2010,0
Artur Moraes,Brazil,Italy,29,GK,AS Roma,Braga,Summer,2010,0
Emiliano Tortolano,Italy,None,20,RW,AS Roma,Latina Calcio,Summer,2010,-1
Claudio Della Penna,Italy,None,21,RW,AS Roma,Ternana,Summer,2010,-1
Riccardo Brosco,Italy,None,19,CB,AS Roma,Triestina,Summer,2010,-1
Max Tonetto,Italy,None,35,LB,AS Roma,None,Summer,2010,-1
Jo�o Paulo,Brazil,Italy,21,RM,AS Roma,None,Summer,2010,-1
�der,Italy,Brazil,23,LW,FC Empoli,Brescia Calcio,Summer,2010,4200000.0
Alessandro Diamanti,Italy,None,27,SS,West Ham,Brescia Calcio,Summer,2010,2200000.0
Panagiotis Kone,Greece,Albania,22,CM,Iraklis,Brescia Calcio,Summer,2010,800000.0
Fabio Daprel�,Switzerland,Italy,19,LB,West Ham,Brescia Calcio,Summer,2010,750000.0
Antonio Filippini,Italy,None,37,RM,AS Livorno,Brescia Calcio,Summer,2010,0
Jonathan Zebina,France,None,32,CB,Juventus,Brescia Calcio,Summer,2010,0
Matteo Sereni,Italy,None,35,GK,Torino,Brescia Calcio,Summer,2010,-1
Andrea Rispoli,Italy,None,21,RB,Brescia Calcio,Parma,Summer,2010,7000000.0
Andrea Mantovani,Italy,None,20,Midfielder,Brescia Calcio,Feralpisal�,Summer,2010,-1
Sergio Viotti,Italy,None,20,GK,Brescia Calcio,Triestina,Summer,2010,-1
Andrea Caroppo,Italy,None,19,GK,Brescia Calcio,Hellas Verona,Summer,2010,-1
Federico Caon,Italy,None,20,Midfielder,Brescia Calcio,Solbiatese Arno Calcio,Summer,2010,-1
Matteo Sereni,Italy,None,36,GK,Brescia Calcio,None,Summer,2010,-1
Benjamin Owusu �,Ghana,None,20,LB,Brescia Calcio,None,Summer,2010,-1
Jonathan Biabiany,France,Guadeloupe,22,RW,Parma,FC Internazionale,Summer,2010,4200000.0
Marko Livaja,Croatia,None,16,CF,Hajduk Split,FC Internazionale,Summer,2010,185000.0
Luca Castellazzi,Italy,None,34,GK,Sampdoria,FC Internazionale,Summer,2010,0
Luca Tremolada,Italy,None,19,AM,Piacenza FC,FC Internazionale,Summer,2010,-1
Andrea Mei,Italy,None,22,CB,Piacenza FC,FC Internazionale,Summer,2010,-1
Dennis Esposito,Italy,None,23,CB,Monza,FC Internazionale,Summer,2010,-1
Mario Balotelli,Italy,Ghana,20,CF,FC Internazionale,Man City,Summer,2010,29500000.0
Nicol�s Burdisso,Argentina,Italy,29,CB,FC Internazionale,AS Roma,Summer,2010,8000000.0
Ricardo Quaresma,Portugal,None,26,RW,FC Internazionale,Besiktas,Summer,2010,7300000.0
Luis Jim�nez,Chile,Italy,26,AM,FC Internazionale,Ternana,Summer,2010,3700000.0
Rene Krhin,Slovenia,None,20,DM,FC Internazionale,Bologna,Summer,2010,2500000.0
Cristian Daminuta,Romania,None,20,DM,FC Internazionale,AC Milan,Summer,2010,1000000.0
Attila Filkor,Hungary,None,22,CM,FC Internazionale,AC Milan,Summer,2010,1000000.0
Nicolas Desenclos,France,Armenia,21,CB,FC Internazionale,KAS Eupen,Summer,2010,0
Giacomo Bindi,Italy,None,23,GK,FC Internazionale,Crotone,Summer,2010,0
Andrea Mei,Italy,None,21,CB,FC Internazionale,Piacenza FC,Summer,2010,-1
Simone Fautario,Italy,None,23,LB,FC Internazionale,Como,Summer,2010,-1
Daniele Pedrelli,Italy,None,22,LB,FC Internazionale,Spezia,Summer,2010,-1
Dennis Esposito,Italy,None,22,CB,FC Internazionale,Monza,Summer,2010,-1
Rinc�n,Brazil,None,23,CB,FC Internazionale,Chievo Verona,Summer,2010,-1
Juri Toppan,Italy,None,20,CB,FC Internazionale,Spezia,Summer,2010,-1
Francesco Toldo,Italy,None,38,GK,FC Internazionale,None,Summer,2010,-1
Andrea Rispoli,Italy,None,21,RB,Brescia,Parma FC,Summer,2010,7000000.0
Blerim Dzemaili,Switzerland,Macedonia,24,CM,Torino,Parma FC,Summer,2010,7000000.0
Valeri Bojinov,Bulgaria,Italy,24,CF,Man City,Parma FC,Summer,2010,2000000.0
Gabriele Paonessa,Italy,None,23,AM,Bologna,Parma FC,Summer,2010,600000.0
Milan Djuric,Bosnia-Herzegovina,Italy,20,CF,AC Cesena,Parma FC,Summer,2010,300000.0
Alberto Galuppo,Italy,None,25,CB,AC Cesena,Parma FC,Summer,2010,200000.0
Danilo Pereira,Portugal,Guinea-Bissau,18,DM,Benfica U19,Parma FC,Summer,2010,0
Alain Mendy,Senegal,None,20,CM,Mantova FC,Parma FC,Summer,2010,0
Massimo Gobbi,Italy,None,29,LB,Fiorentina,Parma FC,Summer,2010,0
Rolf Feltscher,Venezuela,Switzerland,19,RB,Grasshoppers,Parma FC,Summer,2010,0
Filipe Oliveira,Portugal,None,26,RW,Braga,Parma FC,Summer,2010,0
Angelo,Brazil,None,29,RB,Lecce,Parma FC,Summer,2010,0
Abderrazzak Jadid,Morocco,Italy,27,CM,Salernitana,Parma FC,Summer,2010,-1
Marco Pisano,Italy,None,28,LB,Torino,Parma FC,Summer,2010,-1
Niccol� Galli,Italy,None,22,CM,Pergolettese,Parma FC,Summer,2010,-1
Fabio Lebran,Italy,None,23,CB,Rimini,Parma FC,Summer,2010,-1
Mario Merlonghi,Italy,None,22,LW,Monterotondo,Parma FC,Summer,2010,-1
Francesco Pambianchi,Italy,None,22,CB,Pergolettese,Parma FC,Summer,2010,-1
Davide Colomba,Italy,None,22,LM,SPAL,Parma FC,Summer,2010,-1
Gabriel Paletta,Italy,Argentina,24,CB,Boca Juniors,Parma FC,Summer,2010,-1
Jonathan Biabiany,France,Guadeloupe,22,RW,Parma FC,Inter,Summer,2010,4200000.0
Daniele Paponi,Italy,None,22,CF,Parma FC,Bologna,Summer,2010,500000.0
Fabio Lebran,Italy,None,23,CB,Parma FC,UC AlbinoLeffe,Summer,2010,150000.0
Alessio Tombesi,Italy,None,28,LB,Parma FC,Atletico Roma,Summer,2010,100000.0
Radek Petr,Czech Republic,None,23,GK,Parma FC,KAS Eupen,Summer,2010,0
Julio de Le�n,Honduras,None,30,AM,Parma FC,SD Luneng,Summer,2010,775.0
Mattia Pin,Italy,None,22,Striker,Parma FC,Colorno,Summer,2010,-1
Mario Merlonghi,Italy,None,22,LW,Parma FC,Fondi,Summer,2010,-1
Alberto Galuppo,Italy,None,24,CB,Parma FC,AC Cesena,Summer,2010,-1
Mattia Ferrato,Italy,None,20,CB,Parma FC,AC Carpenedolo,Summer,2010,-1
Leandro Mart�nez,Italy,Argentina,20,LW,Parma FC,UC AlbinoLeffe,Summer,2010,-1
Giacomo Chiazzolino,Italy,None,24,CM,Parma FC,Campobasso,Summer,2010,-1
Stefano Crisci,Italy,None,20,RW,Parma FC,Fondi,Summer,2010,-1
Damiano Zenoni,Italy,None,33,RB,Parma FC,None,Summer,2010,-1
Miguel Veloso,Portugal,None,24,DM,Sporting CP,Genoa CFC,Summer,2010,9000000.0
Rafinha,Brazil,Germany,24,RB,FC Schalke 04,Genoa CFC,Summer,2010,8000000.0
Kevin-Prince Boateng,Ghana,Germany,23,AM,Portsmouth FC,Genoa CFC,Summer,2010,5700000.0
Chico,Spain,None,23,CB,UD Almer�a,Genoa CFC,Summer,2010,5000000.0
Eduardo,Portugal,None,27,GK,Braga,Genoa CFC,Summer,2010,4500000.0
Riccardo Meggiorini,Italy,None,25,SS,Bologna,Genoa CFC,Summer,2010,3000000.0
Diego �ngelo,Brazil,None,24,CB,Naval,Genoa CFC,Summer,2010,1500000.0
Panagiotis Tachtsidis,Greece,None,19,DM,AEK Athens,Genoa CFC,Summer,2010,200000.0
Fernando Forestieri,Italy,Argentina,21,SS,Udinese Calcio,Genoa CFC,Summer,2010,120000.0
Kakhaber Kaladze,Georgia,None,32,CB,AC Milan,Genoa CFC,Summer,2010,0
Gergely Rudolf,Hungary,None,25,CF,Debrecen,Genoa CFC,Summer,2010,0
Luca Toni,Italy,None,33,CF,Bayern Munich,Genoa CFC,Summer,2010,0
Antonio Caracciolo,Italy,None,20,CB,Pavia U19,Genoa CFC,Summer,2010,-1
Francesco Acerbi,Italy,None,23,CB,Reggina,Genoa CFC,Summer,2010,-1
Danilo Russo,Italy,None,23,GK,Vicenza,Genoa CFC,Summer,2010,-1
Salvatore Bocchetti,Italy,None,23,CB,Genoa CFC,Rubin Kazan,Summer,2010,9500000.0
Sergio Floccari,Italy,San Marino,28,CF,Genoa CFC,Lazio,Summer,2010,8500000.0
Sokratis,Greece,None,22,CB,Genoa CFC,AC Milan,Summer,2010,4500000.0
Alberto Paloschi,Italy,None,21,CF,Genoa CFC,AC Milan,Summer,2010,4350000.0
Riccardo Meggiorini,Italy,None,24,SS,Genoa CFC,Bologna,Summer,2010,3000000.0
Alberto Zapater,Spain,None,25,DM,Genoa CFC,Sporting CP,Summer,2010,2000000.0
Fabrizio Rondinara,Italy,None,20,LB,Genoa CFC,Lecco,Summer,2010,0
