Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Mousa Dembélé, Belgium, Mali, 23, CM, AZ Alkmaar, Fulham FC, Summer, 2010, 6.00 Mill. €
Rafik Halliche, Algeria, None, 23, CB, Benfica, Fulham FC, Summer, 2010, 2.50 Mill. €
Carlos Salcido, Mexico, None, 30, CB, PSV Eindhoven, Fulham FC, Summer, 2010, 1.95 Mill. €
Philippe Senderos, Switzerland, Spain, 25, CB, Arsenal, Fulham FC, Summer, 2010, Free transfer
Jonathan Greening, England, None, 31, CM, West Brom, Fulham FC, Summer, 2010, Free transfer
Chris Smalling, England, None, 20, CB, Fulham FC, Man Utd, Summer, 2010, 8.00 Mill. €
Paul Konchesky, England, None, 29, LB, Fulham FC, Liverpool, Summer, 2010, 4.00 Mill. €
Elliot Omozusi, England, Nigeria, 22, RB, Fulham FC, Leyton Orient, Summer, 2010, Free transfer
Wayne Brown, England, None, 21, AM, Fulham FC, Bristol Rovers, Summer, 2010, Free transfer
Michael Uwezu, England, Nigeria, 19, CF, Fulham FC, Dulwich Hamlet FC, Summer, 2010, Free transfer
Toni Kallio, Finland, None, 31, CB, Fulham FC, Viking, Summer, 2010, Free transfer
Erik Nevland, Norway, None, 32, CF, Fulham FC, Viking, Summer, 2010, Free transfer
Bruno Luz, Portugal, None, 21, LW, Fulham FC, Apol. Limassol, Summer, 2010, Free transfer
Stefan Payne, England, None, 18, CF, Fulham FC, Gillingham FC, Summer, 2010, Free transfer
Andranik Teymourian, Iran, None, 27, DM, Fulham FC, None, Summer, 2010, -
King Gyan, Ghana, None, 21, DM, Fulham FC, None, Summer, 2010, -
Somen Tchoyi, Cameroon, None, 27, AM, RB Salzburg, West Bromwich Albion, Summer, 2010, 3.00 Mill. €
Peter Odemwingie, Nigeria, Russia, 29, RW, Loko Moscow, West Bromwich Albion, Summer, 2010, 3.00 Mill. €
Marc-Antoine Fortuné, French Guiana, France, 29, CF, Celtic, West Bromwich Albion, Summer, 2010, 3.00 Mill. €
Boaz Myhill, Wales, United States, 27, GK, Hull City, West Bromwich Albion, Summer, 2010, 1.80 Mill. €
Nicky Shorey, England, None, 29, LB, Aston Villa, West Bromwich Albion, Summer, 2010, 1.80 Mill. €
Gabriel Tamas, Romania, None, 26, CB, AJ Auxerre, West Bromwich Albion, Summer, 2010, 930 Th. €
Craig Dawson, England, None, 20, RB, Rochdale AFC, West Bromwich Albion, Summer, 2010, 300 Th. €
Paul Scharner, Austria, None, 30, CB, Wigan, West Bromwich Albion, Summer, 2010, Free transfer
Pablo Ibáñez, Spain, None, 28, CB, Atlético Madrid, West Bromwich Albion, Summer, 2010, Free transfer
James Hurst, England, None, 18, RB, Portsmouth U18, West Bromwich Albion, Summer, 2010, Free transfer
Steven Reid, Ireland, England, 29, RB, Blackburn, West Bromwich Albion, Summer, 2010, Free transfer
Filipe Teixeira, Portugal, France, 29, RW, West Bromwich Albion, Metalurh D., Summer, 2010, Free transfer
Andwelé Slory, Netherlands, Suriname, 27, RW, West Bromwich Albion, Levski Sofia, Summer, 2010, Free transfer
Jonathan Greening, England, None, 31, CM, West Bromwich Albion, Fulham, Summer, 2010, Free transfer
Robert Koren, Slovenia, None, 29, AM, West Bromwich Albion, Hull City, Summer, 2010, Free transfer
Bebé, Portugal, Cape Verde, 20, LW, Vit. Guimarães, Manchester United, Summer, 2010, 8.80 Mill. €
Chris Smalling, England, None, 20, CB, Fulham, Manchester United, Summer, 2010, 8.00 Mill. €
Chicharito, Mexico, None, 22, CF, Guadalajara, Manchester United, Summer, 2010, 7.50 Mill. €
Zoran Tosic, Serbia, None, 23, RW, Manchester United, CSKA Moscow, Summer, 2010, 9.50 Mill. €
Ben Foster, England, None, 27, GK, Manchester United, Birmingham, Summer, 2010, 7.00 Mill. €
David Gray, Scotland, None, 22, RB, Manchester United, Preston NE, Summer, 2010, Free transfer
Rodrigo Possebon, Italy, Brazil, 21, CM, Manchester United, Santos FC, Summer, 2010, Free transfer
Tom Heaton, England, None, 24, GK, Manchester United, Cardiff, Summer, 2010, Free transfer
Sam Hewson, England, None, 21, CM, Manchester United, Altrincham, Summer, 2010, Free transfer
Scott Moffatt, England, None, 19, CB, Manchester United, None, Summer, 2010, -
Ronnie Stam, Netherlands, None, 26, RB, FC Twente, Wigan Athletic, Summer, 2010, 4.00 Mill. €
Mauro Boselli, Argentina, Mexico, 25, CF, Estudiantes, Wigan Athletic, Summer, 2010, 3.70 Mill. €
Franco Di Santo, Argentina, Italy, 21, CF, Chelsea, Wigan Athletic, Summer, 2010, 2.40 Mill. €
James McArthur, Scotland, None, 22, CM, Hamilton Acad., Wigan Athletic, Summer, 2010, 600 Th. €
Antolín Alcaraz, Paraguay, Italy, 27, CB, Club Brugge, Wigan Athletic, Summer, 2010, Free transfer
Steven Caldwell, Scotland, None, 29, CB, Burnley, Wigan Athletic, Summer, 2010, Free transfer
Titus Bramble, England, Montserrat, 28, CB, Wigan Athletic, Sunderland, Summer, 2010, 1.20 Mill. €
Jason Scotland, Trinidad and Tobago, None, 31, CF, Wigan Athletic, Ipswich, Summer, 2010, 1.20 Mill. €
Mario Melchiot, Netherlands, Suriname, 33, RB, Wigan Athletic, Umm-Salal, Summer, 2010, Free transfer
Tomasz Kupisz, Poland, None, 20, RW, Wigan Athletic, J. Bialystok, Summer, 2010, Free transfer
Paul Scharner, Austria, None, 30, CB, Wigan Athletic, West Brom, Summer, 2010, Free transfer
Tomasz Cywka, Poland, None, 22, RB, Wigan Athletic, Derby, Summer, 2010, Free transfer
Olivier Kapo, France, Cote d'Ivoire, 29, AM, Wigan Athletic, None, Summer, 2010, -
Richard Kingson, Ghana, Turkey, 32, GK, Wigan Athletic, Blackpool, Summer, 2010, -
Stephen Ireland, Ireland, None, 23, AM, Man City, Aston Villa, Summer, 2010, 9.70 Mill. €
James Milner, England, None, 24, CM, Aston Villa, Man City, Summer, 2010, 22.00 Mill. €
Nicky Shorey, England, None, 29, LB, Aston Villa, West Brom, Summer, 2010, 1.80 Mill. €
David Bevan, Ireland, None, 21, GK, Aston Villa, Walsall FC, Summer, 2010, Free transfer
Stephen O'Halloran, Ireland, None, 22, LB, Aston Villa, Coventry City, Summer, 2010, Free transfer
Marlon Harewood, England, Barbados, 30, CF, Aston Villa, Blackpool, Summer, 2010, Free transfer
Wilfred Bouma, Netherlands, None, 32, LB, Aston Villa, PSV Eindhoven, Summer, 2010, Free transfer
Pablo Barrera, Mexico, None, 23, RW, Pumas, West Ham United, Summer, 2010, 4.80 Mill. €
Winston Reid, New Zealand, Denmark, 22, CB, FC Midtjylland, West Ham United, Summer, 2010, 4.20 Mill. €
Frédéric Piquionne, Martinique, France, 31, CF, Olympique Lyon, West Ham United, Summer, 2010, 1.20 Mill. €
Ruud Boffin, Belgium, None, 22, GK, MVV Maastricht, West Ham United, Summer, 2010, 300 Th. €
Thomas Hitzlsperger, Germany, None, 28, CM, Lazio, West Ham United, Summer, 2010, Free transfer
Lars Jacobsen, Denmark, None, 30, RB, Blackburn, West Ham United, Summer, 2010, Free transfer
Alessandro Diamanti, Italy, None, 27, SS, West Ham United, Brescia, Summer, 2010, 2.20 Mill. €
Fabio Daprelà, Switzerland, Italy, 19, LB, West Ham United, Brescia, Summer, 2010, 750 Th. €
Danny Kearns, Ireland, Northern Ireland, 18, RM, West Ham United, Dundalk FC, Summer, 2010, Free transfer
Terry Dixon, Ireland, England, 20, CF, West Ham United, Stevenage FC, Summer, 2010, Free transfer
Josh Payne, England, None, 19, DM, West Ham United, Doncaster Rov., Summer, 2010, Free transfer
Danny Uchechi, Nigeria, None, 20, AM, West Ham United, FC Dender, Summer, 2010, Free transfer
Guillermo Franco, Mexico, Argentina, 33, CF, West Ham United, None, Summer, 2010, -
Benni McCarthy, South Africa, None, 33, CF, West Ham United, None, Summer, 2010, -
Ilan, Brazil, Italy, 29, CF, West Ham United, None, Summer, 2010, -
Tony Brookes, England, None, 19, CB, West Ham United, None, Summer, 2010, -
Magaye Gueye, Senegal, France, 19, CF, R. Strasbourg, Everton FC, Summer, 2010, 1.40 Mill. €
Jermaine Beckford, Jamaica, England, 26, CF, Leeds, Everton FC, Summer, 2010, Free transfer
Ján Mucha, Slovakia, None, 27, GK, Legia Warszawa, Everton FC, Summer, 2010, Free transfer
Lukas Jutkiewicz, England, None, 21, CF, Everton FC, Coventry City, Summer, 2010, 600 Th. €
John Ruddy, England, None, 23, GK, Everton FC, Norwich, Summer, 2010, 600 Th. €
Carlo Nash, England, None, 36, GK, Everton FC, Stoke City, Summer, 2010, Free transfer
Dan Gosling, England, None, 20, CM, Everton FC, Newcastle, Summer, 2010, Free transfer
Anton Peterlin, United States, Denmark, 23, RM, Everton FC, Plymouth, Summer, 2010, Free transfer
Raúl Meireles, Portugal, None, 27, CM, FC Porto, Liverpool FC, Summer, 2010, 13.00 Mill. €
Christian Poulsen, Denmark, None, 30, DM, Juventus, Liverpool FC, Summer, 2010, 5.48 Mill. €
Paul Konchesky, England, None, 29, LB, Fulham, Liverpool FC, Summer, 2010, 4.00 Mill. €
Brad Jones, Australia, England, 28, GK, Middlesbrough, Liverpool FC, Summer, 2010, 2.80 Mill. €
Danny Wilson, Scotland, None, 18, CB, Rangers, Liverpool FC, Summer, 2010, 2.75 Mill. €
Jonjo Shelvey, England, None, 18, CM, Charlton, Liverpool FC, Summer, 2010, 2.00 Mill. €
Milan Jovanovic, Serbia, None, 29, LW, Standard Liège, Liverpool FC, Summer, 2010, Free transfer
Joe Cole, England, None, 28, AM, Chelsea, Liverpool FC, Summer, 2010, Free transfer
Javier Mascherano, Argentina, Italy, 26, CB, Liverpool FC, FC Barcelona, Summer, 2010, 20.00 Mill. €
Yossi Benayoun, Israel, None, 30, RW, Liverpool FC, Chelsea, Summer, 2010, 7.00 Mill. €
Albert Riera, Spain, None, 28, LW, Liverpool FC, Olympiacos, Summer, 2010, 6.00 Mill. €
Krisztián Németh, Hungary, None, 21, CF, Liverpool FC, Olympiacos, Summer, 2010, 1.20 Mill. €
Damien Plessis, France, Réunion, 22, DM, Liverpool FC, Panathinaikos, Summer, 2010, 800 Th. €
Lauri Dalla Valle, Finland, Italy, 18, CF, Liverpool FC, Fulham U23, Summer, 2010, Swap deal
Robbie Threlfall, England, None, 21, LB, Liverpool FC, Bradford City, Summer, 2010, Free transfer
David Martin, England, None, 24, GK, Liverpool FC, MK Dons, Summer, 2010, Free transfer
Nikolay Mihaylov, Bulgaria, None, 22, GK, Liverpool FC, FC Twente, Summer, 2010, Free transfer
Diego Cavalieri, Brazil, Italy, 27, GK, Liverpool FC, AC Cesena, Summer, 2010, Free transfer
Rafael van der Vaart, Netherlands, None, 27, AM, Real Madrid, Tottenham Hotspur, Summer, 2010, 10.50 Mill. €
Sandro, Brazil, Portugal, 21, DM, Internacional, Tottenham Hotspur, Summer, 2010, 10.00 Mill. €
William Gallas, France, Guadeloupe, 33, CB, Arsenal, Tottenham Hotspur, Summer, 2010, Free transfer
Adel Taarabt, Morocco, France, 21, AM, Tottenham Hotspur, QPR, Summer, 2010, 1.20 Mill. €
Dorian Dervite, France, None, 22, CB, Tottenham Hotspur, Villarreal CF B, Summer, 2010, Free transfer
Jimmy Walker, England, None, 36, GK, Tottenham Hotspur, None, Summer, 2010, -
