Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Julien Féret, France, None, 28, CM, AS Nancy-Lorraine, Stade Rennais, Summer, 2011, 4.00 Mill. €
Alfred N'Diaye, Senegal, France, 21, DM, AS Nancy-Lorraine, Bursaspor, Summer, 2011, 2.80 Mill. €
Youssouf Hadji, Morocco, France, 31, CF, AS Nancy-Lorraine, Stade Rennais, Summer, 2011, 1.70 Mill. €
Mickaël Chrétien Basser, Morocco, France, 27, CB, AS Nancy-Lorraine, Bursaspor, Summer, 2011, 400 Th. €
Benjamin Gavanon, France, None, 30, DM, AS Nancy-Lorraine, SC Amiens, Summer, 2011, Free transfer
Bocundji Ca, Guinea-Bissau, France, 24, DM, AS Nancy-Lorraine, Reims, Summer, 2011, Free transfer
Landry N'Guemo, Cameroon, France, 25, DM, AS Nancy-Lorraine, G. Bordeaux, Summer, 2011, Free transfer
Gennaro Bracigliano, France, None, 31, GK, AS Nancy-Lorraine, Marseille, Summer, 2011, Free transfer
Ronan Le Crom, France, None, 36, GK, AS Nancy-Lorraine, None, Summer, 2011, -
Frédéric Bulot, Gabon, France, 20, RM, Monaco, SM Caen, Summer, 2011, Free transfer
Yannick M'Bone, Cameroon, None, 18, CB, Apejes FC, SM Caen, Summer, 2011, Free transfer
Pierre-Alain Frau, France, None, 31, CF, LOSC Lille, SM Caen, Summer, 2011, Free transfer
Ibrahima Tandia, Mali, France, 18, AM, FC Sochaux B, SM Caen, Summer, 2011, Free transfer
Fayçal Fajr, Morocco, France, 22, AM, Fréjus-Saint-Raphaël FC, SM Caen, Summer, 2011, Free transfer
Youssef El Arabi, Morocco, France, 24, CF, SM Caen, Hilal, Summer, 2011, 7.50 Mill. €
Sambou Yatabaré, Mali, France, 22, CM, SM Caen, Monaco, Summer, 2011, 1.00 Mill. €
Julien Toudic, France, None, 25, CF, SM Caen, Lens, Summer, 2011, 500 Th. €
Romain Inez, France, None, 24, CB, SM Caen, LB Châteauroux, Summer, 2011, Free transfer
Ismaïla N'Diaye, Senegal, France, 23, DM, SM Caen, KV Kortrijk, Summer, 2011, Free transfer
Rajiv van La Parra, Netherlands, Suriname, 20, LW, SM Caen, Heerenveen, Summer, 2011, Free transfer
Pablo Barzola, Argentina, None, 27, RB, SM Caen, Argentinos, Summer, 2011, Free transfer
Gil, Brazil, None, 24, CB, Aparecida, Valenciennes FC , Summer, 2011, 3.00 Mill. €
Kenny Lala, Martinique, France, 19, RB, Paris FC, Valenciennes FC , Summer, 2011, 100 Th. €
Arnaud Brocard, France, None, 25, GK, Troyes, Valenciennes FC , Summer, 2011, Free transfer
Milan Bisevac, Serbia, France, 27, CB, Valenciennes FC , Paris SG, Summer, 2011, 3.20 Mill. €
Jonathan Lacourt, France, None, 24, CM, Valenciennes FC , None, Summer, 2011, -
Grégory Wimbée, France, None, 39, GK, Valenciennes FC , None, Summer, 2011, -
Brice Jovial, Guadeloupe, France, 27, CF, AC Le Havre, FCO Dijon, Summer, 2011, 2.00 Mill. €
Samuel Souprayen, France, None, 22, LB, Stade Rennais, FCO Dijon, Summer, 2011, 1.50 Mill. €
Grégory Thil, France, None, 31, CF, US Boulogne, FCO Dijon, Summer, 2011, 800 Th. €
Younousse Sankharé, Senegal, France, 21, CM, Paris SG, FCO Dijon, Summer, 2011, 500 Th. €
Sekou Baradji, France, Mali, 27, DM, Hapoel Raanana, FCO Dijon, Summer, 2011, Free transfer
Abdoulaye Méïté, Cote d'Ivoire, France, 30, CB, West Brom, FCO Dijon, Summer, 2011, Free transfer
Zakaria Diallo, France, France, 24, CB, RSC Charleroi, FCO Dijon, Summer, 2011, Free transfer
Baptiste Reynet, France, None, 20, GK, FC Martigues, FCO Dijon, Summer, 2011, Free transfer
Daisuke Matsui, Japan, None, 30, LM, Grenoble, FCO Dijon, Summer, 2011, Free transfer
Thomas Guerbert, France, None, 22, AM, Luzenac AP, FCO Dijon, Summer, 2011, Free transfer
Cédric Varrault, France, None, 31, CB, Panionios, FCO Dijon, Summer, 2011, Free transfer
Christopher Joufreau, France, None, 19, LW, US Changéenne, FCO Dijon, Summer, 2011, Free transfer
Sebastián Ribas, Uruguay, Italy, 23, CF, FCO Dijon, Genoa, Summer, 2011, Free transfer
Jérôme Martin, France, None, 25, DM, FCO Dijon, US Orléans, Summer, 2011, Free transfer
Stéphane Morisot, France, None, 33, DM, FCO Dijon, Rouen, Summer, 2011, Free transfer
Ruddy M'Passi, Congo, France, 21, CF, FCO Dijon, Atl. Baleares , Summer, 2011, Free transfer
Youcef Touati †, Algeria, France, 22, AM, FCO Dijon, Red Star FC 93, Summer, 2011, Free transfer
Mickaël Isabey, France, None, 36, RW, FCO Dijon, None, Summer, 2011, -
Franck Grandel, Guadeloupe, France, 33, GK, FCO Dijon, None, Summer, 2011, -
Johan Martial, Martinique, France, 20, CB, SC Bastia, Stade Brest 29, Summer, 2011, 800 Th. €
Diallo Guidileye, Mauritania, France, 21, DM, Troyes, Stade Brest 29, Summer, 2011, 700 Th. €
Tripy Makonda, France, Congo DR, 21, LB, Paris SG, Stade Brest 29, Summer, 2011, 500 Th. €
Lionel Cappone, France, None, 32, GK, FC Lorient, Stade Brest 29, Summer, 2011, Free transfer
Jonathan Zebina, France, None, 33, CB, Brescia, Stade Brest 29, Summer, 2011, Free transfer
John Culma, Colombia, None, 30, DM, Maccabi Haifa, Stade Brest 29, Summer, 2011, Free transfer
Joan Hartock, Martinique, France, 24, GK, Olymp. Lyon B, Stade Brest 29, Summer, 2011, Free transfer
Eden Ben Basat, Israel, None, 24, CF, Hapoel Haifa, Stade Brest 29, Summer, 2011, Free transfer
Gaëtan Deneuve, France, None, 26, GK, Stade Brest 29, Fréjus-Saint-Raphaël FC, Summer, 2011, Free transfer
Fodie Traoré, France, Mali, 26, DM, Stade Brest 29, US Orléans, Summer, 2011, Free transfer
Thomas Cotty, France, None, 24, LB, Stade Brest 29, Concarneau, Summer, 2011, Free transfer
Théophile N'Tamé, Cameroon, None, 26, CB, Stade Brest 29, None, Summer, 2011, -
Filippos Darlas, Greece, None, 27, LB, Stade Brest 29, None, Summer, 2011, -
Yvan Bourgis, France, None, 31, RB, Stade Brest 29, None, Summer, 2011, -
Rabiu Mohammed, Ghana, None, 21, DM, Udinese Calcio, FC Évian Thonon Gaillard, Summer, 2011, 1.00 Mill. €
Cédric Mongongu, Congo DR, France, 22, CB, Monaco, FC Évian Thonon Gaillard, Summer, 2011, 500 Th. €
Stephan Andersen, Denmark, None, 29, GK, Bröndby IF, FC Évian Thonon Gaillard, Summer, 2011, 350 Th. €
Fabrice Ehret, France, Switzerland, 31, LB, 1. FC Köln, FC Évian Thonon Gaillard, Summer, 2011, Free transfer
Jonathan Mensah, Ghana, None, 20, CB, Udinese Calcio, FC Évian Thonon Gaillard, Summer, 2011, Free transfer
Jérôme Leroy, France, None, 36, AM, Stade Rennais, FC Évian Thonon Gaillard, Summer, 2011, Free transfer
Saber Khalifa, Tunisia, None, 24, CF, Esperance, FC Évian Thonon Gaillard, Summer, 2011, Free transfer
Sidney Govou, France, Benin, 31, RW, Panathinaikos, FC Évian Thonon Gaillard, Summer, 2011, Free transfer
Steven Fula Pitu, France, None, 17, LB, Rodez AF, FC Évian Thonon Gaillard, Summer, 2011, Free transfer
Christian Poulsen, Denmark, None, 31, DM, Liverpool, FC Évian Thonon Gaillard, Summer, 2011, Free transfer
Mathieu Lafon, France, None, 27, CM, FC Évian Thonon Gaillard, Cannes, Summer, 2011, Free transfer
Pape Ibra M'Boup, Senegal, None, 23, DM, FC Évian Thonon Gaillard, AS Cherbourg, Summer, 2011, Free transfer
Jonathan Roufosse, France, None, 26, SS, FC Évian Thonon Gaillard, Cannes, Summer, 2011, Free transfer
Pierre Bouby, France, None, 27, DM, FC Évian Thonon Gaillard, FC Metz, Summer, 2011, Free transfer
Caçapa, Brazil, France, 35, CB, FC Évian Thonon Gaillard, Avaí FC, Summer, 2011, Free transfer
Antoine Ponroy, France, None, 25, CB, FC Évian Thonon Gaillard, Stade Laval, Summer, 2011, Free transfer
Oumar Pouye, Senegal, France, 23, CF, FC Évian Thonon Gaillard, FC Metz, Summer, 2011, Free transfer
Patrick N'Tolla, France, Cameroon, 23, Midfielder, FC Évian Thonon Gaillard, Le Mont LS, Summer, 2011, ?
Nicolas Goussè, France, None, 35, CF, FC Évian Thonon Gaillard, None, Summer, 2011, -
Amaury Borel, France, None, 24, GK, FC Évian Thonon Gaillard, None, Summer, 2011, -
Patrick N'Tolla, Cameroon, None, 23, RB, FC Évian Thonon Gaillard, Le Mont LS, Summer, 2011, -
Manuel Neuer, Germany, None, 25, GK, FC Schalke 04, Bayern Munich, Summer, 2011, 30.00 Mill. €
Jérôme Boateng, Germany, None, 22, CB, Man City, Bayern Munich, Summer, 2011, 13.50 Mill. €
Rafinha, Brazil, Germany, 25, RB, Genoa, Bayern Munich, Summer, 2011, 5.50 Mill. €
Nils Petersen, Germany, None, 22, CF, Energie Cottbus, Bayern Munich, Summer, 2011, 2.80 Mill. €
Mehmet Ekici, Turkey, Germany, 21, AM, Bayern Munich, Werder Bremen, Summer, 2011, 5.00 Mill. €
Andreas Ottl, Germany, None, 26, DM, Bayern Munich, Hertha BSC, Summer, 2011, Free transfer
Hamit Altintop, Turkey, Germany, 28, CM, Bayern Munich, Real Madrid, Summer, 2011, Free transfer
Miroslav Klose, Germany, Poland, 33, CF, Bayern Munich, Lazio, Summer, 2011, Free transfer
Thomas Kraft, Germany, None, 22, GK, Bayern Munich, Hertha BSC, Summer, 2011, Free transfer
Ilkay Gündogan, Germany, None, 20, CM, 1.FC Nuremberg, Borussia Dortmund, Summer, 2011, 5.50 Mill. €
Ivan Perisic, Croatia, None, 22, LW, Club Brugge, Borussia Dortmund, Summer, 2011, 5.50 Mill. €
Mustafa Amini, Australia, None, 18, CM, Central Coast Mariners, Borussia Dortmund, Summer, 2011, 300 Th. €
Chris Löwe, Germany, None, 22, LB, Chemnitzer FC, Borussia Dortmund, Summer, 2011, 225 Th. €
Nuri Sahin, Turkey, Germany, 22, DM, Borussia Dortmund, Real Madrid, Summer, 2011, 10.00 Mill. €
Tamás Hajnal, Hungary, None, 30, AM, Borussia Dortmund, VfB Stuttgart, Summer, 2011, 1.00 Mill. €
Markus Feulner, Germany, None, 29, CM, Borussia Dortmund, 1.FC Nuremberg, Summer, 2011, 150 Th. €
Dedê, Brazil, Germany, 33, LB, Borussia Dortmund, Eskisehirspor, Summer, 2011, Free transfer
André Schürrle, Germany, None, 20, LW, 1.FSV Mainz 05, Bayer 04 Leverkusen, Summer, 2011, 8.50 Mill. €
Ömer Toprak, Turkey, Germany, 21, CB, SC Freiburg, Bayer 04 Leverkusen, Summer, 2011, 3.00 Mill. €
David Yelldell, United States, Germany, 29, GK, MSV Duisburg, Bayer 04 Leverkusen, Summer, 2011, 260 Th. €
Karim Bellarabi, Germany, Morocco, 21, RW, E. Braunschweig, Bayer 04 Leverkusen, Summer, 2011, Free transfer
Arturo Vidal, Chile, None, 24, CM, Bayer 04 Leverkusen, Juventus, Summer, 2011, 12.50 Mill. €
Domagoj Vida, Croatia, None, 22, CB, Bayer 04 Leverkusen, Dinamo Zagreb, Summer, 2011, 1.30 Mill. €
Marcel Risse, Germany, None, 21, RW, Bayer 04 Leverkusen, 1.FSV Mainz 05, Summer, 2011, 800 Th. €
Burak Kaplan, Turkey, Germany, 21, AM, Bayer 04 Leverkusen, Besiktas, Summer, 2011, 650 Th. €
Constant Djakpa, Cote d'Ivoire, None, 24, LB, Bayer 04 Leverkusen, E. Frankfurt, Summer, 2011, 500 Th. €
Richard Sukuta-Pasu, Germany, Congo DR, 21, CF, Bayer 04 Leverkusen, 1.FC K'lautern, Summer, 2011, 280 Th. €
Kevin Kampl, Slovenia, Germany, 20, CM, Bayer 04 Leverkusen, VfL Osnabrück, Summer, 2011, ?
Sami Hyypiä, Finland, None, 37, CB, Bayer 04 Leverkusen, None, Summer, 2011, -
Benedikt Fernandez, Germany, None, 26, GK, Bayer 04 Leverkusen, None, Summer, 2011, -
Tomasz Bobel, Poland, None, 36, GK, Bayer 04 Leverkusen, None, Summer, 2011, -
Christian Fuchs, Austria, None, 25, LB, 1.FSV Mainz 05, FC Schalke 04, Summer, 2011, 3.80 Mill. €
Marco Höger, Germany, None, 21, CM, Alem. Aachen, FC Schalke 04, Summer, 2011, 1.50 Mill. €
Teemu Pukki, Finland, None, 21, CF, HJK Helsinki, FC Schalke 04, Summer, 2011, 1.50 Mill. €
Ralf Fährmann, Germany, None, 22, GK, E. Frankfurt, FC Schalke 04, Summer, 2011, Free transfer
Ciprian Marica, Romania, None, 25, CF, VfB Stuttgart, FC Schalke 04, Summer, 2011, Free transfer
Timo Hildebrand, Germany, None, 32, GK, None, FC Schalke 04, Summer, 2011, -
Manuel Neuer, Germany, None, 25, GK, FC Schalke 04, Bayern Munich , Summer, 2011, 30.00 Mill. €
Junmin Hao, China, None, 24, CM, FC Schalke 04, SD Luneng, Summer, 2011, 1.10 Mill. €
Lukas Schmitz, Germany, None, 22, LB, FC Schalke 04, Werder Bremen, Summer, 2011, 1.00 Mill. €
Tore Reginiussen, Norway, None, 25, CB, FC Schalke 04, Odense BK, Summer, 2011, 400 Th. €
Ali Karimi, Iran, None, 32, AM, FC Schalke 04, Persepolis, Summer, 2011, Free transfer
Christian Pander, Germany, None, 27, LB, FC Schalke 04, Hannover 96, Summer, 2011, Free transfer
Angelos Charisteas, Greece, None, 31, CF, FC Schalke 04, Panetolikos, Summer, 2011, Free transfer
Gerald Asamoah, Germany, Ghana, 32, CF, FC Schalke 04, None, Summer, 2011, -
Nicolas Plestan, France, None, 30, CB, FC Schalke 04, None, Summer, 2011, -
Garra Dembélé, Mali, France, 25, CF, Levski Sofia, SC Freiburg, Summer, 2011, 2.20 Mill. €
Beg Ferati, Switzerland, Kosovo, 24, CB, FC Basel, SC Freiburg, Summer, 2011, Free transfer
Daniel Batz, Germany, None, 20, GK, 1.FC Nuremberg, SC Freiburg, Summer, 2011, Free transfer
Andreas Hinkel, Germany, None, 29, RB, None, SC Freiburg, Summer, 2011, -
Ömer Toprak, Turkey, Germany, 21, CB, SC Freiburg, Bay. Leverkusen, Summer, 2011, 3.00 Mill. €
Danny Williams, United States, Germany, 22, DM, SC Freiburg, TSG Hoffenheim, Summer, 2011, 200 Th. €
Tommy Bechmann, Denmark, None, 29, CF, SC Freiburg, SönderjyskE, Summer, 2011, Free transfer
Ivica Banovic, Croatia, None, 31, DM, SC Freiburg, Energie Cottbus, Summer, 2011, Free transfer
Jonathan Jäger, France, None, 33, LW, SC Freiburg, None, Summer, 2011, -
Simon Pouplin, France, None, 26, GK, SC Freiburg, None, Summer, 2011, -
Ivo Ilicevic, Croatia, None, 24, LW, 1.FC K'lautern, Hamburger SV, Summer, 2011, 4.00 Mill. €
Michael Mancienne, England, Seychelles, 23, CB, Chelsea, Hamburger SV, Summer, 2011, 2.50 Mill. €
Slobodan Rajkovic, Serbia, None, 22, CB, Chelsea, Hamburger SV, Summer, 2011, 2.00 Mill. €
Gökhan Töre, Turkey, Germany, 19, RW, Chelsea Res., Hamburger SV, Summer, 2011, 1.30 Mill. €
Per Ciljan Skjelbred, Norway, None, 24, CM, Rosenborg BK, Hamburger SV, Summer, 2011, 500 Th. €
Jacopo Sala, Italy, None, 19, RB, Chelsea Res., Hamburger SV, Summer, 2011, 100 Th. €
Sven Neuhaus, Germany, None, 33, GK, RB Leipzig, Hamburger SV, Summer, 2011, Free transfer
Eljero Elia, Netherlands, None, 24, LW, Hamburger SV, Juventus, Summer, 2011, 9.00 Mill. €
Jonathan Pitroipa, Burkina Faso, None, 25, RW, Hamburger SV, Stade Rennais, Summer, 2011, 3.50 Mill. €
Alex Silva, Brazil, None, 26, CB, Hamburger SV, Flamengo, Summer, 2011, 2.00 Mill. €
Joris Mathijsen, Netherlands, None, 31, CB, Hamburger SV, Málaga CF, Summer, 2011, 1.75 Mill. €
Änis Ben-Hatira, Tunisia, Germany, 23, AM, Hamburger SV, Hertha BSC, Summer, 2011, 600 Th. €
David Rozehnal, Czech Republic, None, 30, CB, Hamburger SV, LOSC Lille, Summer, 2011, 500 Th. €
Frank Rost, Germany, None, 38, GK, Hamburger SV, NY Red Bulls, Summer, 2011, Free transfer
Tunay Torun, Turkey, Germany, 21, RW, Hamburger SV, Hertha BSC, Summer, 2011, Free transfer
Kai-Fabian Schulz, Germany, None, 21, CB, Hamburger SV, Carl Zeiss Jena, Summer, 2011, Free transfer
Wolfgang Hesl, Germany, None, 25, GK, Hamburger SV, Dynamo Dresden, Summer, 2011, Free transfer
Guy Demel, Cote d'Ivoire, France, 30, RB, Hamburger SV, West Ham, Summer, 2011, Free transfer
Ruud van Nistelrooy, Netherlands, None, 35, CF, Hamburger SV, Málaga CF, Summer, 2011, Free transfer
Zé Roberto, Brazil, Germany, 37, LB, Hamburger SV, Al-Gharafa, Summer, 2011, Free transfer
Collin Benjamin, Namibia, None, 32, DM, Hamburger SV, 1860 Munich, Summer, 2011, Free transfer
Piotr Trochowski, Germany, None, 27, AM, Hamburger SV, Sevilla FC, Summer, 2011, Free transfer
Eric Maxim Choupo-Moting, Cameroon, Germany, 22, LW, Hamburger SV, 1.FSV Mainz 05, Summer, 2011, Free transfer
Matthias Zimmermann, Germany, None, 19, DM, Karlsruher SC, Borussia Mönchengladbach, Summer, 2011, 1.00 Mill. €
Lukas Rupp, Germany, None, 20, CM, Karlsruher SC, Borussia Mönchengladbach, Summer, 2011, 600 Th. €
Yuki Otsu, Japan, None, 21, LW, Kashiwa Reysol, Borussia Mönchengladbach, Summer, 2011, 400 Th. €
Oscar Wendt, Sweden, None, 25, LB, FC Copenhagen, Borussia Mönchengladbach, Summer, 2011, Free transfer
Mathew Leckie, Australia, None, 20, RW, Adelaide United, Borussia Mönchengladbach, Summer, 2011, Free transfer
Michael Bradley, United States, None, 24, CM, Borussia Mönchengladbach, Chievo Verona, Summer, 2011, 1.20 Mill. €
Karim Matmour, Algeria, France, 26, RW, Borussia Mönchengladbach, E. Frankfurt, Summer, 2011, 500 Th. €
Mohamadou Idrissou, Cameroon, None, 31, CF, Borussia Mönchengladbach, E. Frankfurt, Summer, 2011, Free transfer
Christian Dorda, Germany, Poland, 22, LB, Borussia Mönchengladbach, Greuther Fürth, Summer, 2011, Free transfer
Fabian Bäcker, Germany, None, 21, RW, Borussia Mönchengladbach, Alem. Aachen, Summer, 2011, Free transfer
Jens Wissing, Germany, None, 23, LB, Borussia Mönchengladbach, SC Paderborn, Summer, 2011, Free transfer
Marcel Meeuwis, Netherlands, None, 30, DM, Borussia Mönchengladbach, VVV-Venlo, Summer, 2011, Free transfer
Sebastian Schachten, Germany, None, 26, RB, Borussia Mönchengladbach, FC St. Pauli, Summer, 2011, Free transfer
Paul Stalteri, Canada, Italy, 33, RB, Borussia Mönchengladbach, None, Summer, 2011, -
Jean-Sébastien Jaurès, France, Réunion, 33, LB, Borussia Mönchengladbach, None, Summer, 2011, -
Artur Sobiech, Poland, None, 21, CF, Pol. Warsaw, Hannover 96, Summer, 2011, 1.10 Mill. €
Daniel Royer, Austria, None, 21, LW, SV  Ried, Hannover 96, Summer, 2011, 600 Th. €
Henning Hauger, Norway, None, 25, DM, Stabaek IF, Hannover 96, Summer, 2011, 450 Th. €
Samuel Sahin-Radlinger, Austria, None, 18, GK, SV  Ried, Hannover 96, Summer, 2011, 250 Th. €
Christian Pander, Germany, None, 27, LB, FC Schalke 04, Hannover 96, Summer, 2011, Free transfer
DaMarcus Beasley, United States, None, 29, LB, Hannover 96, Puebla, Summer, 2011, Free transfer
Florian Fromlowitz, Germany, None, 24, GK, Hannover 96, MSV Duisburg, Summer, 2011, Free transfer
Felix Burmeister, Germany, None, 21, CB, Hannover 96, Arm. Bielefeld, Summer, 2011, Free transfer
Mikael Forssell, Finland, None, 30, CF, Hannover 96, None, Summer, 2011, -
Tim Hofmann, Germany, None, 23, CB, Hannover 96, None, Summer, 2011, -
Tomás Pekhart, Czech Republic, None, 22, CF, FK Jablonec, 1.FC Nuremberg, Summer, 2011, 2.00 Mill. €
Timm Klose, Switzerland, Germany, 23, CB, FC Thun, 1.FC Nuremberg, Summer, 2011, 400 Th. €
Alexander Esswein, Germany, None, 21, RW, Dynamo Dresden, 1.FC Nuremberg, Summer, 2011, 200 Th. €
Markus Feulner, Germany, None, 29, CM, Bor. Dortmund, 1.FC Nuremberg, Summer, 2011, 150 Th. €
Patrick Rakovsky, Germany, None, 18, GK, Schalke 04 U19, 1.FC Nuremberg, Summer, 2011, 100 Th. €
Wilson Kamavuaka, Congo DR, Germany, 21, DM, Hoffenheim II, 1.FC Nuremberg, Summer, 2011, Free transfer
Manuel Zeitz, Germany, None, 20, DM, Saarbrücken, 1.FC Nuremberg, Summer, 2011, Free transfer
Philipp Klement, Germany, None, 18, AM, K'lautern U19, 1.FC Nuremberg, Summer, 2011, Free transfer
Ilkay Gündogan, Germany, None, 20, CM, 1.FC Nuremberg, Bor. Dortmund, Summer, 2011, 5.50 Mill. €
Andreas Wolf, Germany, None, 29, CB, 1.FC Nuremberg, Werder Bremen, Summer, 2011, Free transfer
Pascal Bieler, Germany, None, 25, LB, 1.FC Nuremberg, Wehen Wiesbaden, Summer, 2011, Free transfer
Daniel Batz, Germany, None, 20, GK, 1.FC Nuremberg, SC Freiburg, Summer, 2011, Free transfer
Timo Ochs, Germany, None, 29, GK, 1.FC Nuremberg, 1860 Munich, Summer, 2011, Free transfer
Marek Mintál, Slovakia, None, 33, AM, 1.FC Nuremberg, Hansa Rostock, Summer, 2011, Free transfer
Dario Vidosic, Australia, Croatia, 24, AM, 1.FC Nuremberg, Adelaide United, Summer, 2011, Free transfer
Daniel Klewer, Germany, None, 34, GK, 1.FC Nuremberg, None, Summer, 2011, -
Christian Träsch, Germany, None, 23, RB, VfB Stuttgart, VfL Wolfsburg, Summer, 2011, 9.00 Mill. €
Rasmus Jönsson, Sweden, None, 21, CF, Helsingborg, VfL Wolfsburg, Summer, 2011, 3.40 Mill. €
Patrick Ochs, Germany, None, 27, RB, E. Frankfurt, VfL Wolfsburg, Summer, 2011, 3.00 Mill. €
Marco Russ, Germany, None, 25, CB, E. Frankfurt, VfL Wolfsburg, Summer, 2011, 3.00 Mill. €
Mateusz Klich, Poland, None, 21, CM, Cracovia Kraków, VfL Wolfsburg, Summer, 2011, 1.50 Mill. €
Sotiris Kyrgiakos, Greece, None, 32, CB, Liverpool, VfL Wolfsburg, Summer, 2011, Free transfer
Hrvoje Cale, Croatia, None, 26, LB, Trabzonspor, VfL Wolfsburg, Summer, 2011, Free transfer
Hasan Salihamidzic, Bosnia-Herzegovina, Germany, 34, RM, Juventus, VfL Wolfsburg, Summer, 2011, Free transfer
Thomas Hitzlsperger, Germany, None, 29, CM, West Ham, VfL Wolfsburg, Summer, 2011, Free transfer
Srdjan Lakic, Croatia, None, 27, CF, 1.FC K'lautern, VfL Wolfsburg, Summer, 2011, Free transfer
Chris, Brazil, Italy, 33, CB, None, VfL Wolfsburg, Summer, 2011, -
Grafite, Brazil, None, 32, CF, VfL Wolfsburg, Al-Ahli (UAE), Summer, 2011, 3.00 Mill. €
Sascha Riether, Germany, None, 28, RB, VfL Wolfsburg, 1. FC Köln, Summer, 2011, 2.80 Mill. €
Fabian Johnson, United States, Germany, 23, LW, VfL Wolfsburg, TSG Hoffenheim, Summer, 2011, 700 Th. €
Karim Ziani, Algeria, France, 28, AM, VfL Wolfsburg, El-Jaish, Summer, 2011, Free transfer
Arne Friedrich, Germany, None, 32, CB, VfL Wolfsburg, None, Summer, 2011, -
William Kvist, Denmark, None, 26, DM, FC Copenhagen, VfB Stuttgart, Summer, 2011, 3.50 Mill. €
Maza, Mexico, None, 29, CB, PSV Eindhoven, VfB Stuttgart, Summer, 2011, 1.80 Mill. €
Tamás Hajnal, Hungary, None, 30, AM, Bor. Dortmund, VfB Stuttgart, Summer, 2011, 1.00 Mill. €
Ibrahima Traoré, Guinea, France, 23, RW, FC Augsburg, VfB Stuttgart, Summer, 2011, Free transfer
Christian Träsch, Germany, None, 23, RB, VfB Stuttgart, VfL Wolfsburg, Summer, 2011, 9.00 Mill. €
Élson, Brazil, None, 29, AM, VfB Stuttgart, Rostov, Summer, 2011, Free transfer
Ciprian Marica, Romania, None, 25, CF, VfB Stuttgart, FC Schalke 04, Summer, 2011, Free transfer
Anthony Ujah, Nigeria, None, 20, CF, Lilleström SK, 1.FSV Mainz 05, Summer, 2011, 2.30 Mill. €
Nicolai Müller, Germany, None, 23, RW, Greuther Fürth, 1.FSV Mainz 05, Summer, 2011, 1.80 Mill. €
Christian Fuchs, Austria, None, 25, LB, VfL Bochum, 1.FSV Mainz 05, Summer, 2011, 1.80 Mill. €
Julian Baumgartlinger, Austria, None, 23, DM, Austria Vienna, 1.FSV Mainz 05, Summer, 2011, 1.10 Mill. €
Malik Fathi, Germany, Turkey, 27, CM, Spartak Moscow, 1.FSV Mainz 05, Summer, 2011, 1.00 Mill. €
Zoltán Stieber, Hungary, None, 22, LW, Alem. Aachen, 1.FSV Mainz 05, Summer, 2011, 900 Th. €
Marcel Risse, Germany, None, 21, RW, Bay. Leverkusen, 1.FSV Mainz 05, Summer, 2011, 800 Th. €
Fabian Schönheim, Germany, None, 24, CB, Wehen Wiesbaden, 1.FSV Mainz 05, Summer, 2011, 400 Th. €
Andreas Ivanschitz, Austria, None, 27, AM, Panathinaikos, 1.FSV Mainz 05, Summer, 2011, 200 Th. €
Yunus Malli, Turkey, Germany, 19, AM, M'gladbach U19, 1.FSV Mainz 05, Summer, 2011, Free transfer
Deniz Yilmaz, Azerbaijan, Turkey, 23, CF, FC Bayern II, 1.FSV Mainz 05, Summer, 2011, Free transfer
Eric Maxim Choupo-Moting, Cameroon, Germany, 22, LW, Hamburger SV, 1.FSV Mainz 05, Summer, 2011, Free transfer
Zdenek Pospech, Czech Republic, None, 32, RB, FC Copenhagen, 1.FSV Mainz 05, Summer, 2011, Free transfer
André Schürrle, Germany, None, 20, LW, 1.FSV Mainz 05, Bay. Leverkusen, Summer, 2011, 8.50 Mill. €
Christian Fuchs, Austria, None, 25, LB, 1.FSV Mainz 05, FC Schalke 04, Summer, 2011, 3.80 Mill. €
Miroslav Karhan, Slovakia, None, 35, CM, 1.FSV Mainz 05, Spartak Trnava, Summer, 2011, Free transfer
Filip Trojan, Czech Republic, None, 28, LW, 1.FSV Mainz 05, Dynamo Dresden, Summer, 2011, Free transfer
Jan Simak, Czech Republic, None, 32, AM, 1.FSV Mainz 05, Carl Zeiss Jena, Summer, 2011, Free transfer
Zsolt Löw, Hungary, None, 32, LB, 1.FSV Mainz 05, None, Summer, 2011, -
Martin Pieckenhagen, Germany, None, 39, GK, 1.FSV Mainz 05, None, Summer, 2011, -
Mehmet Ekici, Turkey, Germany, 21, AM, Bayern Munich , SV Werder Bremen, Summer, 2011, 5.00 Mill. €
Lukas Schmitz, Germany, None, 22, LB, FC Schalke 04, SV Werder Bremen, Summer, 2011, 1.00 Mill. €
Aleksandar Ignjovski, Serbia, None, 20, RB, OFK Beograd, SV Werder Bremen, Summer, 2011, 500 Th. €
Florian Hartherz, Germany, None, 18, LB, Wolfsburg II, SV Werder Bremen, Summer, 2011, 200 Th. €
Tom Trybull, Germany, None, 18, DM, Hansa Rostock, SV Werder Bremen, Summer, 2011, 200 Th. €
Andreas Wolf, Germany, None, 29, CB, 1.FC Nuremberg, SV Werder Bremen, Summer, 2011, Free transfer
Aleksandar Stevanovic, Germany, Serbia, 19, CM, Schalke 04 U19, SV Werder Bremen, Summer, 2011, Free transfer
Per Mertesacker, Germany, None, 26, CB, SV Werder Bremen, Arsenal, Summer, 2011, 11.30 Mill. €
